combination,train_Accuracy,test_Accuracy,colsample_bytree,learning_rate,max_depth,alpha,n_estimators
81,0.7090428219072241,0.7012956139308213,0.1,0.1,3,100,100
82,0.613354729428546,0.6047783192677998,0.1,0.1,5,1,10
83,0.6927282993075986,0.6827528824438369,0.1,0.1,5,1,50
84,0.7454459005675909,0.7254249375965768,0.1,0.1,5,1,100
85,0.6100264479510267,0.6020444550101034,0.1,0.1,5,10,10
86,0.6861014531514665,0.6782360632354689,0.1,0.1,5,10,50
87,0.7359959585153487,0.7242363009627957,0.1,0.1,5,10,100
88,0.6064307152833497,0.5996671817425413,0.1,0.1,5,100,10
89,0.66788505542183,0.6621894686794247,0.1,0.1,5,100,50
90,0.7116876170098957,0.7040294781885178,0.1,0.1,5,100,100
91,0.616593860509346,0.6052537739213123,0.1,0.1,8,1,10
92,0.705655106831892,0.6840603827409961,0.1,0.1,8,1,50
93,0.7740334611155686,0.727921074527517,0.1,0.1,8,1,100
94,0.6103236159400909,0.6026387733269939,0.1,0.1,8,10,10
95,0.6885382306617931,0.6796624271960062,0.1,0.1,8,10,50
96,0.7400671599655285,0.7260192559134673,0.1,0.1,8,10,100
97,0.6064604320822561,0.5996671817425413,0.1,0.1,8,100,10
98,0.6681525066119878,0.6621894686794247,0.1,0.1,8,100,50
99,0.7121928025913049,0.7041483418518959,0.1,0.1,8,100,100
100,0.6179311164601349,0.6058480922382028,0.1,0.1,10,1,10
101,0.7146890136994443,0.683941519077618,0.1,0.1,10,1,50
102,0.7952512555347538,0.7263758469036016,0.1,0.1,10,1,100
103,0.6103236159400909,0.6026387733269939,0.1,0.1,10,10,10
104,0.6887759650530445,0.6793058362058718,0.1,0.1,10,10,50
105,0.7404831951502184,0.7261381195768454,0.1,0.1,10,10,100
106,0.6064604320822561,0.5996671817425413,0.1,0.1,10,100,10
107,0.6681525066119878,0.6621894686794247,0.1,0.1,10,100,50
108,0.7121928025913049,0.7041483418518959,0.1,0.1,10,100,100
109,0.6863986211405307,0.6774040175918222,0.1,1.0,3,1,10
110,0.7782532465602805,0.7563294900748841,0.1,1.0,3,1,50
111,0.8030667736471427,0.7688101747295851,0.1,1.0,3,1,100
112,0.6825651540816023,0.6769285629383097,0.1,1.0,3,10,10
113,0.772369320376809,0.7556163080946154,0.1,1.0,3,10,50
114,0.7917149564648897,0.768691311066207,0.1,1.0,3,10,100
115,0.6705892841223143,0.6649233329371211,0.1,1.0,3,100,10
116,0.7523699147127871,0.7468203970046356,0.1,1.0,3,100,50
117,0.7627410775311283,0.7582313086889338,0.1,1.0,3,100,100
118,0.7019107901696829,0.6833472007607274,0.1,1.0,5,1,10
119,0.8121898309114142,0.7543088077974563,0.1,1.0,5,1,50
120,0.854655136548691,0.7633424462141923,0.1,1.0,5,1,100
121,0.6960268639862114,0.6826340187804588,0.1,1.0,5,10,10
122,0.7856527294879796,0.7577558540354213,0.1,1.0,5,10,50
123,0.8074945766841995,0.7679781290859384,0.1,1.0,5,10,100
124,0.6732637960238923,0.6694401521454891,0.1,1.0,5,100,10
125,0.7530236842887285,0.748365624628551,0.1,1.0,5,100,50
126,0.7649104038512972,0.7568049447283965,0.1,1.0,5,100,100
127,0.7317761730706368,0.682871746107215,0.1,1.0,8,1,10
128,0.8795875308311789,0.7464638060145014,0.1,1.0,8,1,50
129,0.9379810406822977,0.7487222156186853,0.1,1.0,8,1,100
130,0.699800897447327,0.6832283370973493,0.1,1.0,8,10,10
131,0.7940625835784969,0.7554974444312373,0.1,1.0,8,10,50
132,0.8216100561647499,0.7657197194817544,0.1,1.0,8,10,100
133,0.67112418650263,0.6668251515511708,0.1,1.0,8,100,10
134,0.7542717898427981,0.7493165339355758,0.1,1.0,8,100,50
135,0.7660099254108348,0.758350172352312,0.1,1.0,8,100,100
136,0.7495468188166771,0.6788303815523594,0.1,1.0,10,1,10
137,0.916020326290452,0.7361226673006062,0.1,1.0,10,1,50
138,0.9704912186859231,0.7486033519553073,0.1,1.0,10,1,100
139,0.7000386318385784,0.683941519077618,0.1,1.0,10,10,10
140,0.7955781403227244,0.7582313086889338,0.1,1.0,10,10,50
141,0.8235416480936674,0.7666706287887792,0.1,1.0,10,10,100
142,0.671064752904817,0.6668251515511708,0.1,1.0,10,100,10
143,0.7544798074351431,0.749435397598954,0.1,1.0,10,100,50
144,0.7653561558348935,0.7585878996790681,0.1,1.0,10,100,100
145,0.6536804255445603,0.650065375014858,0.3,0.001,3,1,10
146,0.6667855338622923,0.6656365149173897,0.3,0.001,3,1,50
147,0.6680633562152685,0.6653987875906335,0.3,0.001,3,1,100
148,0.6527889215773677,0.6499465113514798,0.3,0.001,3,10,10
149,0.6654779947104098,0.6639724236300962,0.3,0.001,3,10,50
150,0.6666963834655731,0.66373469630334,0.3,0.001,3,10,100
151,0.6409319188137054,0.6360394627362416,0.3,0.001,3,100,10
152,0.6557606014680099,0.65244264828242,0.3,0.001,3,100,50
153,0.6561469198537934,0.6527992392725543,0.3,0.001,3,100,100
154,0.6800689429734629,0.6725306073933198,0.3,0.001,5,1,10
155,0.6919556625360316,0.6863187923451801,0.3,0.001,5,1,50
156,0.6931443344922885,0.6860810650184239,0.3,0.001,5,1,100
157,0.6751656711539032,0.6680137881849518,0.3,0.001,5,10,10
158,0.6870226739175656,0.6823962914537026,0.3,0.001,5,10,50
159,0.688389646667261,0.6827528824438369,0.3,0.001,5,10,100
160,0.6504412944637603,0.6450731011529776,0.3,0.001,5,100,10
161,0.6641407387596208,0.6607631047188874,0.3,0.001,5,100,50
162,0.6649133755311878,0.6610008320456436,0.3,0.001,5,100,100
163,0.711776767406615,0.6892903839296327,0.3,0.001,8,1,10
164,0.7201569046982259,0.700939022940687,0.3,0.001,8,1,50
165,0.7211969926599506,0.7016522049209557,0.3,0.001,8,1,100
166,0.691064158568839,0.6802567455128967,0.3,0.001,8,10,10
167,0.6997711806484206,0.689646974919767,0.3,0.001,8,10,50
168,0.7022079581587471,0.692975157494354,0.3,0.001,8,10,100
169,0.6531455231642448,0.6473315107571616,0.3,0.001,8,100,10
